mq_ra,mq_dec,mq_name,mq_z,mq_cite
15.845666699999999,0.6806806,SDSS J010322.95+004050.4,0.764,DR14Q
15.8493367,-0.048389999999999996,SDSS J010323.84-000254.2,1.749,DR14Q
15.8510296,0.9604976999999999,SDSS J010324.24+005737.7,0.9790000000000001,DR14Q
15.851541899999999,-0.0475955,SDSS J010324.37-000251.3,2.309,DR14Q
15.854339300000001,0.3241699,SDSS J010325.04+001927.0,2.627,DR14Q
15.855581900000002,0.4906056,SDSS J010325.33+002926.1,2.675,DR14Q
15.857722400000002,0.8332335,SDSS J010325.85+004959.6,1.62,DR14Q
15.8599663,1.1248651,SDSS J010326.39+010729.5,1.459,DR14Q
15.8620766,0.9274049000000001,SDSS J010326.89+005538.6,4.163,DR14Q
15.8649732,0.8865449000000001,SDSS J010327.59+005311.5,1.1159999999999999,DR14Q
15.866880499999999,0.382357,SDSS J010328.05+002256.4,0.894,DR14Q
15.867316399999998,1.197761,SDSS J010328.15+011151.9,1.308,DR14Q
15.869281200000001,0.9208706,SDSS J010328.62+005515.1,0.927,DR14Q
15.871213399999998,-0.46946190000000004,SDSS J010329.09-002810.0,0.7709999999999999,DR14Q
15.8726693,0.68193,LBQS 0100+0024,1.433,DR7Q
15.8733829,0.6361720000000001,SDSS J010329.61+003810.2,2.997,DR14Q
15.8774187,-0.28942290000000004,SDSS J010330.58-001721.9,1.178,DR14Q
15.877583999999999,0.638203,2SLAQ J010330.62+003817.5,1.682,2SLAQ
15.8834652,1.0758723999999997,SDSS J010332.03+010433.1,1.577,DR14Q
15.8868318,0.2595103,2SLAQ J010332.83+001534.2,1.6219999999999999,2SLAQ
15.887098000000002,1.125052,SDSS J010332.90+010730.1,0.44299999999999995,DR14
15.887269,0.41577700000000006,2SLAQ J010332.94+002456.7,0.066,2SLAQ
15.889853500000001,-0.7726947,SDSS J010333.56-004621.7,2.3890000000000002,DR14Q
15.8972984,-0.9242519,SDSS J010335.35-005527.3,0.266,DR14Q
15.8993343,0.517894,SDSS J010335.84+003104.4,2.71,DR14Q
15.9017006,-0.9190664000000001,SDSS J010336.40-005508.6,2.44,DR14Q
15.902648300000001,-0.1609678,SDSS J010336.63-000939.4,0.948,DR14Q
15.904148800000002,-0.8498676,SDSS J010336.99-005059.5,1.2409999999999999,DR14Q
